experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r1	base-B	original-cb1	9	128	16	21388.96875	6520.0078125
exact-r1	base-B	control-scx	1	128	16	21315.6171875	6491.8203125
exact-r1	base-B	control-scx	2	128	16	21337.9921875	6481.25
exact-r1	base-B	control-scx	3	128	16	21255.25	6512.203125
exact-r1	base-B	control-scx	4	128	16	21264.328125	6506.453125
exact-r1	base-B	control-scx	5	128	16	21142.140625	6477.3828125
exact-r1	base-B	control-scx	6	128	16	21177.8203125	6501.4609375
exact-r1	base-B	control-scx	7	128	16	21136.2734375	6555.265625
exact-r1	base-B	control-scx	8	128	16	22834.9765625	6524.578125
exact-r1	base-B	control-scx	9	128	16	21189.65625	6493.796875
exact-r1	base-B	control-disabled	1	128	16	20965.0078125	6477.3359375
exact-r1	base-B	control-disabled	2	128	16	21079.8671875	6547.9375
exact-r1	base-B	control-disabled	3	128	16	21305.2109375	6545.2265625
exact-r1	base-B	control-disabled	4	128	16	21166.9921875	6538.6640625
exact-r1	base-B	control-disabled	5	128	16	20882.515625	6506.515625
exact-r1	base-B	control-disabled	6	128	16	21316.4921875	6498.53125
exact-r1	base-B	control-disabled	7	128	16	21178.046875	6550.5625
exact-r1	base-B	control-disabled	8	128	16	21420.1640625	6499.8828125
exact-r1	base-B	control-disabled	9	128	16	21135.3125	6507.8125
exact-r2	base-A	original-cb0	1	128	16	21433.6328125	7023.109375
exact-r2	base-A	original-cb0	2	128	16	21213.546875	6550.0078125
exact-r2	base-A	original-cb0	3	128	16	21109.2265625	6543.796875
exact-r2	base-A	original-cb0	4	128	16	21277.5078125	6486.625
exact-r2	base-A	original-cb0	5	128	16	21137.8125	6523.890625
exact-r2	base-A	original-cb0	6	128	16	21181.4296875	6515.5390625
exact-r2	base-A	original-cb0	7	128	16	21208.9765625	6512.78125
exact-r2	base-A	original-cb0	8	128	16	21398.390625	6542.03125
exact-r2	base-A	original-cb0	9	128	16	21126.1484375	6533.3515625
exact-r2	base-A	original-cb1	1	128	16	21161.6953125	6507.109375
exact-r2	base-A	original-cb1	2	128	16	21105.0859375	6482.5859375
exact-r2	base-A	original-cb1	3	128	16	21210.078125	6504.1640625
exact-r2	base-A	original-cb1	4	128	16	21320.203125	6504.921875
exact-r2	base-A	original-cb1	5	128	16	21542.0625	6517.453125
exact-r2	base-A	original-cb1	6	128	16	21076.3828125	6537.3828125
exact-r2	base-A	original-cb1	7	128	16	21238	6486.6328125
exact-r2	base-A	original-cb1	8	128	16	21223.9140625	6523.8359375
exact-r2	base-A	original-cb1	9	128	16	21331.0234375	6501.7890625
exact-r2	base-A	control-scx	1	128	16	21234.4375	6498.015625
exact-r2	base-A	control-scx	2	128	16	21130.53125	6566.2265625
exact-r2	base-A	control-scx	3	128	16	21064.1953125	6481.171875
exact-r2	base-A	control-scx	4	128	16	21380.59375	6580.6796875
exact-r2	base-A	control-scx	5	128	16	21124.078125	6508.5
exact-r2	base-A	control-scx	6	128	16	21167.7890625	6495.1171875
exact-r2	base-A	control-scx	7	128	16	21238.6328125	6501.9609375
exact-r2	base-A	control-scx	8	128	16	21348.4453125	6492.3125
exact-r2	base-A	control-scx	9	128	16	21205.875	6520.8359375
exact-r2	base-A	control-disabled	1	128	16	21016.8359375	6514.6015625
exact-r2	base-A	control-disabled	2	128	16	21166.6328125	6494.0078125
exact-r2	base-A	control-disabled	3	128	16	20871.328125	6555.96875
exact-r2	base-A	control-disabled	4	128	16	21282.578125	6488.5546875
exact-r2	base-A	control-disabled	5	128	16	21172.9140625	6500.3046875
exact-r2	base-A	control-disabled	6	128	16	21079.171875	6517.9140625
exact-r2	base-A	control-disabled	7	128	16	21023.3671875	6523.1875
exact-r2	base-A	control-disabled	8	128	16	21128.34375	6475.4453125
exact-r2	base-A	control-disabled	9	128	16	21243.53125	6504.25
exact-r2	guard-A	original-cb0	1	128	16	22352.71875	6946.140625
exact-r2	guard-A	original-cb0	2	128	16	21390.5546875	6948.25
exact-r2	guard-A	original-cb0	3	128	16	21435.5546875	7034.1171875
exact-r2	guard-A	original-cb0	4	128	16	21684.546875	6922.140625
exact-r2	guard-A	original-cb0	5	128	16	21208.109375	6959.2265625
exact-r2	guard-A	original-cb0	6	128	16	21663.015625	6964.0234375
exact-r2	guard-A	original-cb0	7	128	16	21775.0234375	6942.40625
exact-r2	guard-A	original-cb0	8	128	16	21652.203125	7003.046875
exact-r2	guard-A	original-cb0	9	128	16	21275.28125	6969.90625
exact-r2	guard-A	original-cb1	1	128	16	20792.6953125	6948.90625
exact-r2	guard-A	original-cb1	2	128	16	21521.9921875	6997.953125
exact-r2	guard-A	original-cb1	3	128	16	21220.4453125	6978.578125
exact-r2	guard-A	original-cb1	4	128	16	21244.1640625	6921.734375
exact-r2	guard-A	original-cb1	5	128	16	21450.1953125	6935.3203125
exact-r2	guard-A	original-cb1	6	128	16	21542.0546875	6964.3203125
exact-r2	guard-A	original-cb1	7	128	16	21279.6953125	7037.90625
exact-r2	guard-A	original-cb1	8	128	16	21185.671875	6931.2890625
exact-r2	guard-A	original-cb1	9	128	16	21309.234375	7010.2890625
exact-r2	guard-A	control-scx	1	128	16	20845.296875	7016.6484375
exact-r2	guard-A	control-scx	2	128	16	21084.9609375	6953.5703125
exact-r2	guard-A	control-scx	3	128	16	20787.8359375	6960.4609375
exact-r2	guard-A	control-scx	4	128	16	21371.1015625	6952.5546875
exact-r2	guard-A	control-scx	5	128	16	21082.6796875	6954.125
exact-r2	guard-A	control-scx	6	128	16	20836.0546875	6968.4453125
exact-r2	guard-A	control-scx	7	128	16	21288.7109375	6908.9921875
exact-r2	guard-A	control-scx	8	128	16	21529.484375	6958.8203125
exact-r2	guard-A	control-scx	9	128	16	21237.53125	6928.984375
exact-r2	guard-A	control-disabled	1	128	16	20619.5625	6956.109375
exact-r2	guard-A	control-disabled	2	128	16	21162.734375	6976.6640625
exact-r2	guard-A	control-disabled	3	128	16	20549.8125	6914.7265625
exact-r2	guard-A	control-disabled	4	128	16	21117.046875	6986.59375
exact-r2	guard-A	control-disabled	5	128	16	21113.6953125	7108.9296875
exact-r2	guard-A	control-disabled	6	128	16	20777.0703125	7002.9609375
exact-r2	guard-A	control-disabled	7	128	16	21409.7265625	6947.546875
exact-r2	guard-A	control-disabled	8	128	16	21045.4609375	6903.34375
exact-r2	guard-A	control-disabled	9	128	16	21144.3125	6934.03125
exact-r2	notify-A	original-cb0	1	128	16	22440.75	9619.3828125
exact-r2	notify-A	original-cb0	2	128	16	21366.8671875	9643.7578125
exact-r2	notify-A	original-cb0	3	128	16	21301.984375	9632.171875
exact-r2	notify-A	original-cb0	4	128	16	21585.890625	9652.9453125
exact-r2	notify-A	original-cb0	5	128	16	21391.671875	9550.546875
exact-r2	notify-A	original-cb0	6	128	16	21500.8828125	9707.875
exact-r2	notify-A	original-cb0	7	128	16	21450.0546875	9625.8671875
exact-r2	notify-A	original-cb0	8	128	16	21305.9453125	9662.65625
exact-r2	notify-A	original-cb0	9	128	16	21191.75	9553.5
exact-r2	notify-A	original-cb1	1	128	16	21206.21875	9537.546875
exact-r2	notify-A	original-cb1	2	128	16	21490.96875	9700.2421875
exact-r2	notify-A	original-cb1	3	128	16	21157.109375	9686.0625
exact-r2	notify-A	original-cb1	4	128	16	21338.9375	9722.9375
exact-r2	notify-A	original-cb1	5	128	16	21443.8984375	9636.1640625
exact-r2	notify-A	original-cb1	6	128	16	21320.109375	9559.7890625
exact-r2	notify-A	original-cb1	7	128	16	21251.4296875	9593.9609375
exact-r2	notify-A	original-cb1	8	128	16	21075.7734375	9619.40625
exact-r2	notify-A	original-cb1	9	128	16	21447.4375	9594.5625
exact-r2	notify-A	control-scx	1	128	16	21166.8984375	9628.15625
exact-r2	notify-A	control-scx	2	128	16	21190.9921875	9686.46875
exact-r2	notify-A	control-scx	3	128	16	21128.0546875	9600.8984375
exact-r2	notify-A	control-scx	4	128	16	21441.40625	9622.421875
exact-r2	notify-A	control-scx	5	128	16	21115.7421875	9598.171875
exact-r2	notify-A	control-scx	6	128	16	21141.140625	9599.1875
exact-r2	notify-A	control-scx	7	128	16	21267.7421875	9547.46875
exact-r2	notify-A	control-scx	8	128	16	22520.515625	10425.21875
exact-r2	notify-A	control-scx	9	128	16	21233.96875	9555.515625
exact-r2	notify-A	control-disabled	1	128	16	21422.96875	9551.8046875
exact-r2	notify-A	control-disabled	2	128	16	21208.625	9566.796875
exact-r2	notify-A	control-disabled	3	128	16	21011.015625	9552.9609375
exact-r2	notify-A	control-disabled	4	128	16	21193.6953125	9635.75
exact-r2	notify-A	control-disabled	5	128	16	21161.2265625	9562.125
exact-r2	notify-A	control-disabled	6	128	16	21423.15625	9509.703125
exact-r2	notify-A	control-disabled	7	128	16	21162.6484375	9600.2109375
exact-r2	notify-A	control-disabled	8	128	16	21145.8125	9478.6328125
exact-r2	notify-A	control-disabled	9	128	16	21226.2109375	9537.6953125
exact-r2	notify-B	original-cb0	1	128	16	22235.46875	10143.8125
exact-r2	notify-B	original-cb0	2	128	16	21707.21875	9655.359375
exact-r2	notify-B	original-cb0	3	128	16	21497.5859375	9727.5625
exact-r2	notify-B	original-cb0	4	128	16	21540.9765625	9655.15625
exact-r2	notify-B	original-cb0	5	128	16	21421.9765625	9570.21875
exact-r2	notify-B	original-cb0	6	128	16	21195.8203125	9641.0625
exact-r2	notify-B	original-cb0	7	128	16	21812.59375	9682.6484375
exact-r2	notify-B	original-cb0	8	128	16	21576.75	9739.765625
exact-r2	notify-B	original-cb0	9	128	16	21301.484375	9586.9765625
exact-r2	notify-B	original-cb1	1	128	16	20964.1796875	9596.2421875
exact-r2	notify-B	original-cb1	2	128	16	21623.0859375	9614.171875
exact-r2	notify-B	original-cb1	3	128	16	21224.7890625	9572.515625
