case	point	sample	warmups	pace_ms	operations	between_stage_ns	cycle_ns	first4_cycle_ns	first4_mkdir_ns	first4_rmdir_ns	first4_stat_ns	first_cycle_ns	first_mkdir_ns	first_rmdir_ns	first_stat_ns	mkdir_ns	rmdir_ns	stat_ns	tail_cycle_ns	tail_mkdir_ns	tail_rmdir_ns	tail_stat_ns	workload_wall_per_cycle_ns
w0-p0	B2	8	0	0	32	33.8125	28588.5625	32939.5	21364.75	9570	1965.5	43680	27450	14054	2125	18932.46875	7792.21875	1830.0625	27967	18585	7538.25	1810.7142857142858	33059.625
w0-p0	B2	9	0	0	32	33.75	28058.59375	30452.25	18975.5	9588.25	1848	36518	20964	13754	1743	18282.9375	7841.625	1900.28125	27716.64285714286	18184	7592.107142857143	1907.75	32461.34375
w0-p0	A2	1	0	0	32	36.71875	31900.9375	34898.25	21163.25	11886.5	1810.25	36871	18766	16225	1831	19914.75	10075.34375	1874.125	31472.75	19736.39285714286	9816.607142857143	1883.25	36269.71875
w0-p0	A2	2	0	0	32	36.59375	30378.90625	34459.75	20565	11969.5	1883.5	39591	21183	16430	1921	18523.375	10012.28125	1806.65625	29795.928571428572	18231.714285714286	9732.67857142857	1795.6785714285713	34723.5625
w0-p0	A2	3	0	0	32	34.5	30787.1875	37140.5	20932.25	12290	3876.25	40135	21606	16608	1864	18497.90625	10090.75	2164.03125	29879.571428571428	18150.14285714286	9776.57142857143	1919.4285714285713	35101.03125
w0-p0	A2	4	0	0	32	33.875	30272.625	34610.75	20703.75	11981.75	1886.25	39735	21633	16194	1862	18202.875	10242.5	1793.375	29652.89285714286	17845.60714285714	9994.035714285714	1780.107142857143	34573.65625
w0-p0	A2	5	0	0	32	33.84375	29778.96875	33846.5	20150.25	11877.25	1780.75	39251	21071	16338	1795	17952.65625	9987.96875	1804.5	29197.89285714286	17638.714285714286	9718.07142857143	1807.892857142857	34112.5
w0-p0	A2	6	0	0	32	34.25	30667.625	35009.25	21184.25	11912.5	1875.25	40093	21600	16639	1802	18655.59375	10037.1875	1940.59375	30047.39285714286	18294.35714285714	9769.285714285714	1949.9285714285713	35023.03125
w0-p0	A2	7	0	0	32	37.78125	30595.0625	34745	21007.25	11828	1867.75	40218	21915	16361	1886	18654.8125	9985.59375	1916.875	30002.214285714286	18318.75	9722.392857142857	1923.892857142857	35001.1875
w0-p0	A2	8	0	0	32	34	30887.0625	34490.25	20829.75	11814.75	1808.5	38911	20758	16355	1747	19042.4375	10017.625	1793	30372.321428571428	18787.10714285714	9760.892857142857	1790.7857142857142	35232.40625
w0-p0	A2	9	0	0	32	33.96875	30628.15625	34793.5	21077.75	11721	1956.25	39569	21267	16267	1985	18716.625	10004.4375	1873.125	30033.10714285714	18379.321428571428	9759.214285714286	1861.25	34999.4375
w0-p50	A1	1	0	50	32	50.40625	81579.34375	75532.25	51108.75	17468	6905.5	56056	35904	15836	4269	55386.40625	18352.40625	7790.125	82443.21428571429	55997.5	18478.75	7916.5	50360676.375
