metric	point	sample	operations	warmups	mean_ns
cycle.sequence_ns	B2	6	32	16	28154.8125
cycle.sequence_ns	B2	7	32	16	27356.0625
cycle.sequence_ns	B2	8	32	16	28106.65625
cycle.sequence_ns	B2	9	32	16	27185.71875
cycle.sequence_ns	A2	1	32	16	30119.53125
cycle.sequence_ns	A2	2	32	16	30119.8125
cycle.sequence_ns	A2	3	32	16	29468.03125
cycle.sequence_ns	A2	4	32	16	30187.25
cycle.sequence_ns	A2	5	32	16	30227.40625
cycle.sequence_ns	A2	6	32	16	29333.875
cycle.sequence_ns	A2	7	32	16	29510.4375
cycle.sequence_ns	A2	8	32	16	29447.96875
cycle.sequence_ns	A2	9	32	16	29526.25
lookup.first_file_stat_ns	A1	1	32	16	1747.65625
lookup.first_file_stat_ns	A1	2	32	16	1649.3125
lookup.first_file_stat_ns	A1	3	32	16	1693.40625
lookup.first_file_stat_ns	A1	4	32	16	1619.53125
lookup.first_file_stat_ns	A1	5	32	16	1708.25
lookup.first_file_stat_ns	A1	6	32	16	1738.65625
lookup.first_file_stat_ns	A1	7	32	16	1712.875
lookup.first_file_stat_ns	A1	8	32	16	1653.15625
lookup.first_file_stat_ns	A1	9	32	16	1650.9375
lookup.first_file_stat_ns	B1	1	32	16	1651.03125
lookup.first_file_stat_ns	B1	2	32	16	1649.53125
lookup.first_file_stat_ns	B1	3	32	16	1665.4375
lookup.first_file_stat_ns	B1	4	32	16	1710.65625
lookup.first_file_stat_ns	B1	5	32	16	1681.5625
lookup.first_file_stat_ns	B1	6	32	16	1656.96875
lookup.first_file_stat_ns	B1	7	32	16	1744.0625
lookup.first_file_stat_ns	B1	8	32	16	1730.5
lookup.first_file_stat_ns	B1	9	32	16	1712
lookup.first_file_stat_ns	B2	1	32	16	1655.09375
lookup.first_file_stat_ns	B2	2	32	16	1613.5625
lookup.first_file_stat_ns	B2	3	32	16	1628.21875
lookup.first_file_stat_ns	B2	4	32	16	1662.21875
lookup.first_file_stat_ns	B2	5	32	16	1622.625
lookup.first_file_stat_ns	B2	6	32	16	1671.34375
lookup.first_file_stat_ns	B2	7	32	16	1638.3125
lookup.first_file_stat_ns	B2	8	32	16	1673.5
lookup.first_file_stat_ns	B2	9	32	16	1635.40625
lookup.first_file_stat_ns	A2	1	32	16	1683.375
lookup.first_file_stat_ns	A2	2	32	16	1667.125
lookup.first_file_stat_ns	A2	3	32	16	3144.53125
lookup.first_file_stat_ns	A2	4	32	16	1683.03125
lookup.first_file_stat_ns	A2	5	32	16	1724.0625
lookup.first_file_stat_ns	A2	6	32	16	1712.375
lookup.first_file_stat_ns	A2	7	32	16	1680.53125
lookup.first_file_stat_ns	A2	8	32	16	1697.53125
lookup.first_file_stat_ns	A2	9	32	16	1723.71875
lookup.cached_stat_batch_ns_per_call	A1	1	32	16	807.9405212402344
lookup.cached_stat_batch_ns_per_call	A1	2	32	16	809.1703186035156
lookup.cached_stat_batch_ns_per_call	A1	3	32	16	807.4384765625
lookup.cached_stat_batch_ns_per_call	A1	4	32	16	809.2215270996094
lookup.cached_stat_batch_ns_per_call	A1	5	32	16	809.9510803222656
lookup.cached_stat_batch_ns_per_call	A1	6	32	16	807.3258056640625
lookup.cached_stat_batch_ns_per_call	A1	7	32	16	812.8450927734375
lookup.cached_stat_batch_ns_per_call	A1	8	32	16	807.4697570800781
lookup.cached_stat_batch_ns_per_call	A1	9	32	16	810.0811462402344
lookup.cached_stat_batch_ns_per_call	B1	1	32	16	805.0906372070312
lookup.cached_stat_batch_ns_per_call	B1	2	32	16	805.3792724609375
lookup.cached_stat_batch_ns_per_call	B1	3	32	16	805.3619079589844
lookup.cached_stat_batch_ns_per_call	B1	4	32	16	804.1639709472656
lookup.cached_stat_batch_ns_per_call	B1	5	32	16	805.742431640625
lookup.cached_stat_batch_ns_per_call	B1	6	32	16	806.1731567382812
lookup.cached_stat_batch_ns_per_call	B1	7	32	16	803.4485473632812
lookup.cached_stat_batch_ns_per_call	B1	8	32	16	807.5672607421875
lookup.cached_stat_batch_ns_per_call	B1	9	32	16	806.9862365722656
lookup.cached_stat_batch_ns_per_call	B2	1	32	16	802.4761657714844
lookup.cached_stat_batch_ns_per_call	B2	2	32	16	802.5968933105469
lookup.cached_stat_batch_ns_per_call	B2	3	32	16	804.514892578125
lookup.cached_stat_batch_ns_per_call	B2	4	32	16	802.0315246582031
lookup.cached_stat_batch_ns_per_call	B2	5	32	16	802.8534240722656
lookup.cached_stat_batch_ns_per_call	B2	6	32	16	809.6596069335938
lookup.cached_stat_batch_ns_per_call	B2	7	32	16	803.6720581054688
lookup.cached_stat_batch_ns_per_call	B2	8	32	16	800.9287719726562
lookup.cached_stat_batch_ns_per_call	B2	9	32	16	806.4912719726562
lookup.cached_stat_batch_ns_per_call	A2	1	32	16	808.4684143066406
lookup.cached_stat_batch_ns_per_call	A2	2	32	16	809.6250610351562
lookup.cached_stat_batch_ns_per_call	A2	3	32	16	809.3248901367188
lookup.cached_stat_batch_ns_per_call	A2	4	32	16	811.3078002929688
lookup.cached_stat_batch_ns_per_call	A2	5	32	16	814.4046325683594
lookup.cached_stat_batch_ns_per_call	A2	6	32	16	809.1871032714844
lookup.cached_stat_batch_ns_per_call	A2	7	32	16	809.541259765625
lookup.cached_stat_batch_ns_per_call	A2	8	32	16	813.5573425292969
lookup.cached_stat_batch_ns_per_call	A2	9	32	16	810.5097351074219
