comparison	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4219158	8240.542969	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4133218	8072.691406	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4181902	8167.777344	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4184117	8172.103516	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4112506	8032.238281	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4151467	8108.333984	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	10	512	512	512	512	1024	1024	512	0	0	0	0	0	4204577	8212.064453	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	11	512	512	512	512	1024	1024	512	0	0	0	0	0	4101327	8010.404297	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	12	512	512	512	512	1024	1024	512	0	0	0	0	0	4258231	8316.857422	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	13	512	512	512	512	1024	1024	512	0	0	0	0	0	4148813	8103.150391	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
release	old-b	1	6.12.95-bm-6.12.95	fc771a79-058c-43ae-9363-521a1cd43d62	point	l0_standard_lifecycle	measured	14	512	512	512	512	1024	1024	512	0	0	0	0	0	4139092	8084.164062	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
