pair	slot	schema_version	kernel_release	boot_id	run_mode	profile	phase	round	events	successful_events	setup_count	close_count	mmap_count	munmap_count	nop_count	validation_failures	cleanup_failures	sq_dropped	cq_overflow	outstanding	timed_ns	ns_per_event	cpu	semantic_pass	sq_entries	cq_entries	features	single_mmap	ring_bytes	sqes_bytes	user_ring_addr_ok	user_sqes_addr_ok	trace_enabled	input_sha256	target_sha256
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4359928	8515.484375	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4411612	8616.429688	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4385018	8564.488281	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4307884	8413.835938	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4334213	8465.259766	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4275423	8350.435547	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	10	512	512	512	512	1024	1024	512	0	0	0	0	0	4410212	8613.695312	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	11	512	512	512	512	1024	1024	512	0	0	0	0	0	4385560	8565.546875	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	12	512	512	512	512	1024	1024	512	0	0	0	0	0	4454397	8699.994141	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	13	512	512	512	512	1024	1024	512	0	0	0	0	0	4305502	8409.183594	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
sq	parent-b	1	6.13.0-rc4-iommsq-good-02255d55260a-xxxxxxxxxxx+	b9a640d7-aa8c-4223-91c7-db04c8705c74	point	l0_standard_lifecycle	measured	14	512	512	512	512	1024	1024	512	0	0	0	0	0	4279090	8357.597656	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	0	512	512	512	512	1024	1024	512	0	0	0	0	0	4601405	8987.119141	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	1	512	512	512	512	1024	1024	512	0	0	0	0	0	4530336	8848.312500	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	2	512	512	512	512	1024	1024	512	0	0	0	0	0	4522085	8832.197266	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	3	512	512	512	512	1024	1024	512	0	0	0	0	0	4644171	9070.646484	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	4	512	512	512	512	1024	1024	512	0	0	0	0	0	4523019	8834.021484	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	5	512	512	512	512	1024	1024	512	0	0	0	0	0	4581551	8948.341797	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	6	512	512	512	512	1024	1024	512	0	0	0	0	0	4472479	8735.310547	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	7	512	512	512	512	1024	1024	512	0	0	0	0	0	4544088	8875.171875	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	8	512	512	512	512	1024	1024	512	0	0	0	0	0	4577508	8940.445312	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
cq	parent-a	1	6.13.0-rc4-iommcq-good-8078486e1d53-xxxxxxxxxxx+	9f629208-f86f-4a49-961e-343c67f78175	point	l0_standard_lifecycle	measured	9	512	512	512	512	1024	1024	512	0	0	0	0	0	4593960	8972.578125	2	true	64	128	0xffff	true	4096	4096	true	true	false	809954870327de3d5c0d6093dd8089e1ce74b45528e5b6f40e904d28988d4665	b688f6bc0d9403aac283c855108a3083739781a62ba8d7be2fc3b6da48a057a9
