experiment	point	scenario	round	replicates	registration_ns	removal_ns	fill_ns	interval_ns	first_fill_ns_per_install	semantic_pass
lifecycle-followup	unpatched-b	paced-4096-64	0	32	5937.593750	0.000000	14248.687500	20211.187500	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	1	32	5931.281250	0.000000	14140.281250	20097.156250	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	2	32	5925.781250	0.000000	14219.343750	20170.843750	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	3	32	5867.406250	0.000000	15213.687500	21105.125000	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	4	32	5907.437500	0.000000	14185.406250	20119.906250	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	5	32	5979.437500	0.000000	14220.375000	20224.625000	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	6	32	6299.656250	0.000000	14236.468750	20560.625000	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	7	32	5857.593750	0.000000	14529.812500	20412.156250	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	8	32	5907.468750	0.000000	14175.968750	20107.687500	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	9	32	5924.875000	0.000000	14202.031250	20150.968750	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	10	32	5846.875000	0.000000	14142.687500	20014.562500	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	11	32	6821.687500	0.000000	14237.375000	21084.062500	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	12	32	5915.375000	0.000000	14177.031250	20119.218750	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	13	32	5942.718750	0.000000	14602.218750	20568.718750	NA	1
lifecycle-followup	unpatched-b	paced-4096-64	14	32	5901.906250	0.000000	14176.875000	20103.656250	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	0	32	5928.281250	0.000000	511051.718750	517004.093750	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	1	32	5980.437500	0.000000	511980.906250	517986.843750	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	2	32	5975.843750	0.000000	510852.312500	516852.406250	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	3	32	6044.250000	0.000000	512116.906250	518186.437500	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	4	32	5939.625000	0.000000	511602.531250	517567.375000	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	5	32	6322.156250	0.000000	511423.406250	517769.718750	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	6	32	5956.468750	0.000000	512165.875000	518148.375000	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	7	32	5982.968750	0.000000	511788.406250	517796.843750	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	8	32	6085.031250	0.000000	511949.718750	518059.281250	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	9	32	5962.937500	0.000000	511623.625000	517611.906250	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	10	32	5926.218750	0.000000	511807.500000	517758.281250	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	11	32	6087.531250	0.000000	512494.312500	518607.312500	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	12	32	5941.593750	0.000000	512076.656250	518043.718750	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	13	32	5980.437500	0.000000	510872.968750	516879.250000	NA	1
lifecycle-followup	unpatched-b	paced-4096-4096	14	32	6032.375000	0.000000	511208.468750	517266.375000	NA	1
lifecycle-followup	unpatched-b	paced-128-128	0	32	2074.593750	0.000000	22387.000000	24487.843750	NA	1
lifecycle-followup	unpatched-b	paced-128-128	1	32	2095.562500	0.000000	22210.937500	24332.750000	NA	1
lifecycle-followup	unpatched-b	paced-128-128	2	32	1988.687500	0.000000	22413.968750	24428.718750	NA	1
lifecycle-followup	unpatched-b	paced-128-128	3	32	2067.500000	0.000000	21906.500000	24000.406250	NA	1
lifecycle-followup	unpatched-b	paced-128-128	4	32	2045.437500	0.000000	21959.437500	24030.906250	NA	1
lifecycle-followup	unpatched-b	paced-128-128	5	32	2076.500000	0.000000	22404.218750	24507.093750	NA	1
lifecycle-followup	unpatched-b	paced-128-128	6	32	2059.031250	0.000000	22011.718750	24097.187500	NA	1
lifecycle-followup	unpatched-b	paced-128-128	7	32	2051.593750	0.000000	22944.812500	25022.312500	NA	1
lifecycle-followup	unpatched-b	paced-128-128	8	32	1966.781250	0.000000	22094.218750	24087.125000	NA	1
lifecycle-followup	unpatched-b	paced-128-128	9	32	2028.812500	0.000000	22128.687500	24184.187500	NA	1
lifecycle-followup	unpatched-b	paced-128-128	10	32	2019.437500	0.000000	22316.625000	24362.125000	NA	1
lifecycle-followup	unpatched-b	paced-128-128	11	32	2047.406250	0.000000	21898.562500	23971.625000	NA	1
lifecycle-followup	unpatched-b	paced-128-128	12	32	2044.687500	0.000000	22277.781250	24348.718750	NA	1
lifecycle-followup	unpatched-b	paced-128-128	13	32	1983.625000	0.000000	22646.000000	24655.937500	NA	1
lifecycle-followup	unpatched-b	paced-128-128	14	32	2066.625000	0.000000	22205.750000	24298.468750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	0	32	0.000000	233822.750000	478897.250000	712747.562500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	1	32	0.000000	232826.625000	479417.312500	712266.031250	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	2	32	0.000000	233456.562500	479611.875000	713090.218750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	3	32	0.000000	233698.312500	479032.218750	712746.218750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	4	32	0.000000	233381.031250	478928.937500	712325.843750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	5	32	0.000000	233082.375000	479222.968750	712321.000000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	6	32	0.000000	233779.656250	479131.437500	712926.906250	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	7	32	0.000000	232936.406250	478888.375000	711840.625000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	8	32	0.000000	233179.687500	479030.312500	712225.812500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	9	32	0.000000	233487.593750	479881.375000	713384.812500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	10	32	0.000000	233245.906250	479046.906250	712308.593750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	11	32	0.000000	233575.375000	479002.093750	712593.000000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	12	32	0.000000	233168.750000	478934.562500	712119.062500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	13	32	0.000000	232637.406250	478825.281250	711478.343750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-4096	14	32	0.000000	232977.687500	478757.812500	711751.187500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	0	32	0.000000	2350.250000	6969.125000	9335.812500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	1	32	0.000000	2351.093750	6945.968750	9312.812500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	2	32	0.000000	2481.406250	6962.250000	9459.625000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	3	32	0.000000	2474.156250	7008.625000	9498.625000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	4	32	0.000000	2487.937500	6943.125000	9447.125000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	5	32	0.000000	2493.625000	6979.000000	9488.593750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	6	32	0.000000	2486.968750	6959.625000	9462.406250	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	7	32	0.000000	2483.468750	6966.000000	9465.187500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	8	32	0.000000	2480.562500	6969.718750	9466.062500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	9	32	0.000000	2487.562500	6988.343750	9491.937500	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	10	32	0.000000	2495.000000	6977.031250	9488.000000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	11	32	0.000000	2493.843750	6972.625000	9482.375000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	12	32	0.000000	2487.125000	6967.000000	9469.968750	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	13	32	0.000000	2488.562500	7012.781250	9517.250000	NA	1
lifecycle-followup	unpatched-b	reuse-4096-64	14	32	0.000000	2491.281250	6983.687500	9490.656250	NA	1
