experiment	case	metric	point	sample	operations	warmups	mean_ns
stage-followup	continuous	workload_wall_per_cycle_ns	B1	1	128	16	38310.2890625
stage-followup	continuous	workload_wall_per_cycle_ns	B1	2	128	16	35116.09375
stage-followup	continuous	workload_wall_per_cycle_ns	B1	3	128	16	32584.125
stage-followup	continuous	workload_wall_per_cycle_ns	B1	4	128	16	32013.328125
stage-followup	continuous	workload_wall_per_cycle_ns	B1	5	128	16	32815.0625
stage-followup	continuous	workload_wall_per_cycle_ns	B1	6	128	16	33048.828125
stage-followup	continuous	workload_wall_per_cycle_ns	B1	7	128	16	32157.3828125
stage-followup	continuous	workload_wall_per_cycle_ns	B1	8	128	16	32807.5
stage-followup	continuous	workload_wall_per_cycle_ns	B1	9	128	16	32083.25
stage-followup	continuous	workload_wall_per_cycle_ns	B2	1	128	16	37381.21875
stage-followup	continuous	workload_wall_per_cycle_ns	B2	2	128	16	34807.4296875
stage-followup	continuous	workload_wall_per_cycle_ns	B2	3	128	16	32128.125
stage-followup	continuous	workload_wall_per_cycle_ns	B2	4	128	16	31913.7265625
stage-followup	continuous	workload_wall_per_cycle_ns	B2	5	128	16	31991.5
stage-followup	continuous	workload_wall_per_cycle_ns	B2	6	128	16	32047.90625
stage-followup	continuous	workload_wall_per_cycle_ns	B2	7	128	16	32745.8046875
stage-followup	continuous	workload_wall_per_cycle_ns	B2	8	128	16	32833.2734375
stage-followup	continuous	workload_wall_per_cycle_ns	B2	9	128	16	32878.3046875
stage-followup	continuous	workload_wall_per_cycle_ns	A2	1	128	16	38411.546875
stage-followup	continuous	workload_wall_per_cycle_ns	A2	2	128	16	37273.0859375
stage-followup	continuous	workload_wall_per_cycle_ns	A2	3	128	16	34779.3125
stage-followup	continuous	workload_wall_per_cycle_ns	A2	4	128	16	34748.6171875
stage-followup	continuous	workload_wall_per_cycle_ns	A2	5	128	16	34079.171875
stage-followup	continuous	workload_wall_per_cycle_ns	A2	6	128	16	34085.6953125
stage-followup	continuous	workload_wall_per_cycle_ns	A2	7	128	16	34013.5
stage-followup	continuous	workload_wall_per_cycle_ns	A2	8	128	16	34243.1171875
stage-followup	continuous	workload_wall_per_cycle_ns	A2	9	128	16	34034.7265625
stage-followup	continuous	between_stage_ns	A1	1	128	16	35.0703125
stage-followup	continuous	between_stage_ns	A1	2	128	16	33.2890625
stage-followup	continuous	between_stage_ns	A1	3	128	16	32.8203125
stage-followup	continuous	between_stage_ns	A1	4	128	16	37.1875
stage-followup	continuous	between_stage_ns	A1	5	128	16	38.078125
stage-followup	continuous	between_stage_ns	A1	6	128	16	33.3984375
stage-followup	continuous	between_stage_ns	A1	7	128	16	33.4921875
stage-followup	continuous	between_stage_ns	A1	8	128	16	32.7890625
stage-followup	continuous	between_stage_ns	A1	9	128	16	33.1328125
stage-followup	continuous	between_stage_ns	B1	1	128	16	33.3828125
stage-followup	continuous	between_stage_ns	B1	2	128	16	33.34375
stage-followup	continuous	between_stage_ns	B1	3	128	16	33.6796875
stage-followup	continuous	between_stage_ns	B1	4	128	16	32.6953125
stage-followup	continuous	between_stage_ns	B1	5	128	16	36.8046875
stage-followup	continuous	between_stage_ns	B1	6	128	16	33.9453125
stage-followup	continuous	between_stage_ns	B1	7	128	16	33.4140625
stage-followup	continuous	between_stage_ns	B1	8	128	16	34.4453125
stage-followup	continuous	between_stage_ns	B1	9	128	16	32.78125
stage-followup	continuous	between_stage_ns	B2	1	128	16	34.578125
stage-followup	continuous	between_stage_ns	B2	2	128	16	34.875
stage-followup	continuous	between_stage_ns	B2	3	128	16	32.6875
stage-followup	continuous	between_stage_ns	B2	4	128	16	32.984375
stage-followup	continuous	between_stage_ns	B2	5	128	16	32.796875
stage-followup	continuous	between_stage_ns	B2	6	128	16	34.4140625
stage-followup	continuous	between_stage_ns	B2	7	128	16	32.8828125
stage-followup	continuous	between_stage_ns	B2	8	128	16	33.453125
stage-followup	continuous	between_stage_ns	B2	9	128	16	32.6875
stage-followup	continuous	between_stage_ns	A2	1	128	16	36.9140625
stage-followup	continuous	between_stage_ns	A2	2	128	16	33.3671875
stage-followup	continuous	between_stage_ns	A2	3	128	16	33.0390625
stage-followup	continuous	between_stage_ns	A2	4	128	16	34.5234375
stage-followup	continuous	between_stage_ns	A2	5	128	16	33.046875
stage-followup	continuous	between_stage_ns	A2	6	128	16	38.90625
stage-followup	continuous	between_stage_ns	A2	7	128	16	33.0234375
stage-followup	continuous	between_stage_ns	A2	8	128	16	32.828125
stage-followup	continuous	between_stage_ns	A2	9	128	16	32.5390625
stage-followup	paced50	mkdir_ns	A1	1	128	16	53403.3203125
stage-followup	paced50	mkdir_ns	A1	2	128	16	55223.796875
stage-followup	paced50	mkdir_ns	A1	3	128	16	54093.7578125
stage-followup	paced50	mkdir_ns	A1	4	128	16	55750.359375
stage-followup	paced50	mkdir_ns	A1	5	128	16	53766.828125
stage-followup	paced50	mkdir_ns	A1	6	128	16	55531.1328125
stage-followup	paced50	mkdir_ns	A1	7	128	16	53072.484375
stage-followup	paced50	mkdir_ns	A1	8	128	16	55332.375
stage-followup	paced50	mkdir_ns	A1	9	128	16	53451.2890625
stage-followup	paced50	mkdir_ns	B1	1	128	16	55463.3984375
stage-followup	paced50	mkdir_ns	B1	2	128	16	55079.046875
stage-followup	paced50	mkdir_ns	B1	3	128	16	55494.703125
stage-followup	paced50	mkdir_ns	B1	4	128	16	55746.5546875
stage-followup	paced50	mkdir_ns	B1	5	128	16	55103.2734375
stage-followup	paced50	mkdir_ns	B1	6	128	16	55198.4453125
stage-followup	paced50	mkdir_ns	B1	7	128	16	55810.8671875
stage-followup	paced50	mkdir_ns	B1	8	128	16	55478.15625
stage-followup	paced50	mkdir_ns	B1	9	128	16	54640.28125
stage-followup	paced50	mkdir_ns	B2	1	128	16	54060.015625
stage-followup	paced50	mkdir_ns	B2	2	128	16	56277.1328125
stage-followup	paced50	mkdir_ns	B2	3	128	16	53545.453125
stage-followup	paced50	mkdir_ns	B2	4	128	16	55656.421875
stage-followup	paced50	mkdir_ns	B2	5	128	16	53201.515625
stage-followup	paced50	mkdir_ns	B2	6	128	16	55333.15625
stage-followup	paced50	mkdir_ns	B2	7	128	16	54374.140625
stage-followup	paced50	mkdir_ns	B2	8	128	16	54566.609375
stage-followup	paced50	mkdir_ns	B2	9	128	16	54961.1328125
stage-followup	paced50	mkdir_ns	A2	1	128	16	53933.140625
stage-followup	paced50	mkdir_ns	A2	2	128	16	54552.8515625
stage-followup	paced50	mkdir_ns	A2	3	128	16	53869.5078125
stage-followup	paced50	mkdir_ns	A2	4	128	16	54717.4140625
stage-followup	paced50	mkdir_ns	A2	5	128	16	55170.234375
stage-followup	paced50	mkdir_ns	A2	6	128	16	55562.28125
stage-followup	paced50	mkdir_ns	A2	7	128	16	54114.75
stage-followup	paced50	mkdir_ns	A2	8	128	16	55187.9609375
stage-followup	paced50	mkdir_ns	A2	9	128	16	54189.9453125
stage-followup	paced50	stat_ns	A1	1	128	16	8248.15625
stage-followup	paced50	stat_ns	A1	2	128	16	8256.390625
stage-followup	paced50	stat_ns	A1	3	128	16	8229.109375
stage-followup	paced50	stat_ns	A1	4	128	16	8117.015625
stage-followup	paced50	stat_ns	A1	5	128	16	8141.4453125
stage-followup	paced50	stat_ns	A1	6	128	16	8021.2421875
stage-followup	paced50	stat_ns	A1	7	128	16	7990.859375
stage-followup	paced50	stat_ns	A1	8	128	16	8133.328125
stage-followup	paced50	stat_ns	A1	9	128	16	8302.265625
stage-followup	paced50	stat_ns	B1	1	128	16	8007.515625
stage-followup	paced50	stat_ns	B1	2	128	16	8111.2109375
stage-followup	paced50	stat_ns	B1	3	128	16	8240.8203125
stage-followup	paced50	stat_ns	B1	4	128	16	8299.46875
stage-followup	paced50	stat_ns	B1	5	128	16	8393.9453125
stage-followup	paced50	stat_ns	B1	6	128	16	8196.125
stage-followup	paced50	stat_ns	B1	7	128	16	8126.0390625
stage-followup	paced50	stat_ns	B1	8	128	16	8148.84375
stage-followup	paced50	stat_ns	B1	9	128	16	7957.1953125
stage-followup	paced50	stat_ns	B2	1	128	16	7898.2109375
stage-followup	paced50	stat_ns	B2	2	128	16	7781.6484375
stage-followup	paced50	stat_ns	B2	3	128	16	7970.984375
stage-followup	paced50	stat_ns	B2	4	128	16	7898.578125
stage-followup	paced50	stat_ns	B2	5	128	16	7919.078125
stage-followup	paced50	stat_ns	B2	6	128	16	7781.671875
stage-followup	paced50	stat_ns	B2	7	128	16	8091.3203125
stage-followup	paced50	stat_ns	B2	8	128	16	7889.7421875
stage-followup	paced50	stat_ns	B2	9	128	16	8079.0546875
stage-followup	paced50	stat_ns	A2	1	128	16	8053.7578125
stage-followup	paced50	stat_ns	A2	2	128	16	7872.890625
stage-followup	paced50	stat_ns	A2	3	128	16	7875.8671875
stage-followup	paced50	stat_ns	A2	4	128	16	7895.484375
stage-followup	paced50	stat_ns	A2	5	128	16	7732.5625
stage-followup	paced50	stat_ns	A2	6	128	16	8148.0625
stage-followup	paced50	stat_ns	A2	7	128	16	8212.9921875
stage-followup	paced50	stat_ns	A2	8	128	16	8120.265625
stage-followup	paced50	stat_ns	A2	9	128	16	7718.2734375
stage-followup	paced50	rmdir_ns	A1	1	128	16	18110.34375
stage-followup	paced50	rmdir_ns	A1	2	128	16	18096.09375
stage-followup	paced50	rmdir_ns	A1	3	128	16	18222.0546875
stage-followup	paced50	rmdir_ns	A1	4	128	16	18001.2265625
stage-followup	paced50	rmdir_ns	A1	5	128	16	18537.7109375
stage-followup	paced50	rmdir_ns	A1	6	128	16	18085.84375
stage-followup	paced50	rmdir_ns	A1	7	128	16	18516.4296875
stage-followup	paced50	rmdir_ns	A1	8	128	16	18075.6953125
stage-followup	paced50	rmdir_ns	A1	9	128	16	18229.328125
stage-followup	paced50	rmdir_ns	B1	1	128	16	15619.40625
stage-followup	paced50	rmdir_ns	B1	2	128	16	16045.2890625
stage-followup	paced50	rmdir_ns	B1	3	128	16	15879.21875
stage-followup	paced50	rmdir_ns	B1	4	128	16	15661.890625
stage-followup	paced50	rmdir_ns	B1	5	128	16	15929.53125
stage-followup	paced50	rmdir_ns	B1	6	128	16	15765.1015625
stage-followup	paced50	rmdir_ns	B1	7	128	16	15980.296875
stage-followup	paced50	rmdir_ns	B1	8	128	16	15944.390625
stage-followup	paced50	rmdir_ns	B1	9	128	16	15610.5
stage-followup	paced50	rmdir_ns	B2	1	128	16	15707.984375
stage-followup	paced50	rmdir_ns	B2	2	128	16	15934.6875
stage-followup	paced50	rmdir_ns	B2	3	128	16	15686.3671875
stage-followup	paced50	rmdir_ns	B2	4	128	16	15819.1328125
stage-followup	paced50	rmdir_ns	B2	5	128	16	15722.34375
stage-followup	paced50	rmdir_ns	B2	6	128	16	15713.6875
stage-followup	paced50	rmdir_ns	B2	7	128	16	15810.7890625
stage-followup	paced50	rmdir_ns	B2	8	128	16	16024.90625
stage-followup	paced50	rmdir_ns	B2	9	128	16	15842.2265625
stage-followup	paced50	rmdir_ns	A2	1	128	16	18532.6796875
stage-followup	paced50	rmdir_ns	A2	2	128	16	18252.2734375
stage-followup	paced50	rmdir_ns	A2	3	128	16	18142.203125
stage-followup	paced50	rmdir_ns	A2	4	128	16	18416.546875
stage-followup	paced50	rmdir_ns	A2	5	128	16	18296.2578125
stage-followup	paced50	rmdir_ns	A2	6	128	16	18136.1640625
